store_id,store_type,store_name,store_number,store_street_address,store_city,store_state,store_postal_code,store_country,store_manager,store_phone,store_fax,first_opened_date,last_remodel_date,store_sqft,grocery_sqft,frozen_sqft,meat_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist
0,HeadQuarters,HQ,0,1 Alameda Way,Alameda,CA,55555,USA,,,,,,,,,,0,0,0,0,0
1,Supermarket,Store 1,1,2853 Bailey Rd,Acapulco,Guerrero,55555,Mexico,Jones,262-555-5124,262-555-5121,1982-01-09,1990-12-05,23593.0,17475.0,3671.0,2447.0,0,0,0,0,0
2,Small Grocery,Store 2,2,5203 Catanzaro Way,Bellingham,WA,55555,USA,Smith,605-555-8203,605-555-8201,1970-04-02,1973-06-04,28206.0,22271.0,3561.0,2374.0,1,0,0,0,0
3,Supermarket,Store 3,3,1501 Ramsey Circle,Bremerton,WA,55555,USA,Davis,509-555-1596,509-555-1591,1959-06-14,1967-11-19,39696.0,24390.0,9184.0,6122.0,0,0,1,1,0
4,Gourmet Supermarket,Store 4,4,433 St George Dr,Camacho,Zacatecas,55555,Mexico,Johnson,304-555-1474,304-555-1471,1994-09-27,1995-12-01,23759.0,16844.0,4149.0,2766.0,1,0,1,1,1
5,Small Grocery,Store 5,5,1250 Coggins Drive,Guadalajara,Jalisco,55555,Mexico,Green,801-555-4324,801-555-4321,1978-09-18,1991-06-29,24597.0,15012.0,5751.0,3834.0,1,0,0,0,0
6,Gourmet Supermarket,Store 6,6,5495 Mitchell Canyon Road,Beverly Hills,CA,55555,USA,Maris,958-555-5002,958-555-5001,1981-01-03,1991-03-13,23688.0,15337.0,5011.0,3340.0,1,1,1,1,1
7,Supermarket,Store 7,7,1077 Wharf Drive,Los Angeles,CA,55555,USA,White,477-555-7967,477-555-7961,1971-05-21,1981-10-20,23598.0,14210.0,5633.0,3755.0,0,0,0,0,1
8,Deluxe Supermarket,Store 8,8,3173 Buena Vista Ave,Merida,Yucatan,55555,Mexico,Williams,797-555-3417,797-555-3411,1958-09-23,1967-11-18,30797.0,20141.0,6393.0,4262.0,1,1,1,1,1
9,Mid-Size Grocery,Store 9,9,1872 El Pintado Road,Mexico City,DF,55555,Mexico,Stuber,439-555-3524,439-555-3521,1955-03-18,1959-06-07,36509.0,22450.0,8435.0,5624.0,0,0,0,0,0
10,Supermarket,Store 10,10,7894 Rotherham Dr,Orizaba,Veracruz,55555,Mexico,Merz,212-555-4774,212-555-4771,1979-04-13,1982-01-30,34791.0,26354.0,5062.0,3375.0,0,0,1,1,0
11,Supermarket,Store 11,11,5371 Holland Circle,Portland,OR,55555,USA,Erickson,685-555-8995,685-555-8991,1976-09-17,1982-05-15,20319.0,16232.0,2452.0,1635.0,0,0,0,0,0
12,Deluxe Supermarket,Store 12,12,1120 Westchester Pl,Hidalgo,Zacatecas,55555,Mexico,Kalman,151-555-1702,151-555-1701,1968-03-25,1993-12-18,30584.0,21938.0,5188.0,3458.0,1,1,1,1,1
13,Deluxe Supermarket,Store 13,13,5179 Valley Ave,Salem,OR,55555,USA,Inmon,977-555-2724,977-555-2721,1957-04-13,1997-11-10,27694.0,18670.0,5415.0,3610.0,1,1,1,1,1
14,Small Grocery,Store 14,14,4365 Indigo Ct,San Francisco,CA,55555,USA,Strehlo,135-555-4888,135-555-4881,1957-11-24,1958-01-07,22478.0,15321.0,4294.0,2863.0,1,0,0,0,0
15,Supermarket,Store 15,15,5006 Highland Drive,Seattle,WA,55555,USA,Ollom,893-555-1024,893-555-1021,1969-07-24,1973-10-19,21215.0,13305.0,4746.0,3164.0,1,0,0,0,0
16,Supermarket,Store 16,16,5922 La Salle Ct,Spokane,WA,55555,USA,Mantle,643-555-3645,643-555-3641,1974-08-23,1977-07-13,30268.0,22063.0,4923.0,3282.0,0,0,0,0,0
17,Deluxe Supermarket,Store 17,17,490 Risdon Road,Tacoma,WA,55555,USA,Mays,855-555-5581,855-555-5581,1970-05-30,1976-06-23,33858.0,22123.0,7041.0,4694.0,1,0,1,1,1
18,Mid-Size Grocery,Store 18,18,6764 Glen Road,Hidalgo,Zacatecas,55555,Mexico,Brown,528-555-8317,528-555-8311,1969-06-28,1975-08-30,38382.0,30351.0,4819.0,3213.0,0,0,0,0,0
19,Deluxe Supermarket,Store 19,19,6644 Sudance Drive,Vancouver,BC,55555,Canada,Ruth,862-555-7395,862-555-7391,1977-03-27,1990-10-25,23112.0,16418.0,4016.0,2678.0,1,1,1,1,1
20,Mid-Size Grocery,Store 20,20,3706 Marvelle Ln,Victoria,BC,55555,Canada,Cobb,897-555-1931,897-555-1931,1980-02-06,1987-04-09,34452.0,27463.0,4193.0,2795.0,1,0,0,0,1
21,Deluxe Supermarket,Store 21,21,4093 Steven Circle,San Andres,DF,55555,Mexico,Jones,493-555-4781,493-555-4781,1986-02-07,1990-04-16,,,,,1,0,1,1,1
22,Small Grocery,Store 22,22,9606 Julpum Loop,Walla Walla,WA,55555,USA,Byrg,881-555-5117,881-555-5111,1951-01-24,1969-10-17,,,,,0,0,0,0,0
23,Mid-Size Grocery,Store 23,23,3920 Noah Court,Yakima,WA,55555,USA,Johnson,170-555-8424,170-555-8421,1977-07-16,1987-07-24,,,,,0,0,0,0,0
24,Supermarket,Store 24,24,2342 Waltham St.,San Diego,CA,55555,USA,Byrd,111-555-0303,111-555-0304,1979-05-22,1986-04-20,,,,,1,0,1,0,1
